name,family,source,task_type,seed,length,horizon,params
lorenz96_F11.39_s017_v4_time_warped,chaotic_flow,synthetic,forecast,150170537,800,20,"{'generator': 'lorenz96', 'F': 11.394831830654185, 'K': 8, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['time_warped'], 'perturbation_strength': 0.9210526315789473}"
lorenz96_F5.93_s019_v4_observation_noise,chaotic_flow,synthetic,forecast,150170539,800,21,"{'generator': 'lorenz96', 'F': 5.927826183441096, 'K': 8, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['observation_noise'], 'perturbation_strength': 1.0, 'snr_db': 24.0}"
chua_alpha8.88_s000_v4_missing_irregular,chaotic_flow,synthetic,forecast,150170540,800,39,"{'generator': 'chua_circuit', 'alpha': 8.881022665876099, 'dt': 0.01, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['missing_irregular'], 'perturbation_strength': 0.25}"
chua_alpha8.43_s006_v4_observation_noise,chaotic_flow,synthetic,forecast,150170546,800,39,"{'generator': 'chua_circuit', 'alpha': 8.432263934740575, 'dt': 0.01, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['observation_noise'], 'perturbation_strength': 0.48684210526315785, 'snr_db': 13.736842105263158}"
chua_alpha11.99_s013_v4_observation_noise,chaotic_flow,synthetic,forecast,150170553,800,38,"{'generator': 'chua_circuit', 'alpha': 11.988596750381346, 'dt': 0.01, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['observation_noise'], 'perturbation_strength': 0.7631578947368421, 'snr_db': 19.263157894736842}"
tent_mu1.577_s018,chaotic_map,synthetic,forecast,150103018,800,3,"{'generator': 'tent_map', 'mu': 1.5773018488709765, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
sine_map_a0.937_s001,chaotic_map,synthetic,forecast,150103101,800,2,"{'generator': 'sine_map', 'a': 0.9371122010331432, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
sine_map_a0.850_s013,chaotic_map,synthetic,forecast,150103113,800,186,"{'generator': 'sine_map', 'a': 0.8501312629575493, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
lozi_a1.67_b0.55_s000,chaotic_map,synthetic,forecast,150103300,800,2,"{'generator': 'lozi_map', 'a': 1.6699512408702908, 'b': 0.5465815737824161, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
lozi_a1.63_b0.28_s014,chaotic_map,synthetic,forecast,150103314,800,2,"{'generator': 'lozi_map', 'a': 1.6323811254395748, 'b': 0.27946774697644966, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
standard_map_k1.40_s000,chaotic_map,synthetic,forecast,150103400,800,1,"{'generator': 'standard_map', 'K': 1.3962726675537747, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
quadratic_map_a1.699_s011,chaotic_map,synthetic,forecast,150103511,800,2,"{'generator': 'quadratic_map', 'a': 1.6993383342998747, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
quadratic_map_a1.613_s019,chaotic_map,synthetic,forecast,150103519,800,4,"{'generator': 'quadratic_map', 'a': 1.6125103221840102, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
logistic_r3.7491_s001_snr20db,chaotic_map,synthetic,forecast,150109041,800,3,"{'generator': 'logistic', 'r': 3.7491161207420647, 'noise_overlay': True, 'snr_db': 20.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
logistic_r3.7859_s007_snr20db,chaotic_map,synthetic,forecast,150109047,800,2,"{'generator': 'logistic', 'r': 3.7859176702154933, 'noise_overlay': True, 'snr_db': 20.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
logistic_r3.9093_s015_snr10db,chaotic_map,synthetic,forecast,150109055,800,2,"{'generator': 'logistic', 'r': 3.9093264094163915, 'noise_overlay': True, 'snr_db': 10.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
logistic_r3.7225_s016_v4_window_length_horizon,chaotic_map,synthetic,forecast,150170076,800,4,"{'generator': 'logistic', 'r': 3.7225126005606937, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['window_length_horizon'], 'perturbation_strength': 0.881578947368421}"
tent_mu1.734_s013_v4_quantized_clipped_saturated,chaotic_map,synthetic,forecast,150170373,800,2,"{'generator': 'tent_map', 'mu': 1.73449848652145, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['quantized_clipped_saturated'], 'perturbation_strength': 0.7631578947368421}"
sine_map_a0.969_s004_v4_window_length_horizon,chaotic_map,synthetic,forecast,150170384,800,2,"{'generator': 'sine_map', 'a': 0.9692867946898023, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['window_length_horizon'], 'perturbation_strength': 0.40789473684210525}"
sine_map_a0.850_s013_v4_missing_irregular,chaotic_map,synthetic,forecast,150170393,800,106,"{'generator': 'sine_map', 'a': 0.8501312629575493, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['missing_irregular'], 'perturbation_strength': 0.7631578947368421}"
sine_map_a0.947_s014_v4_quantized_clipped_saturated,chaotic_map,synthetic,forecast,150170394,800,146,"{'generator': 'sine_map', 'a': 0.9465155147236359, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['quantized_clipped_saturated'], 'perturbation_strength': 0.8026315789473684}"
lozi_a1.50_b0.63_s004_v4_downsampled_aliased,chaotic_map,synthetic,forecast,150170424,800,1,"{'generator': 'lozi_map', 'a': 1.4962966392244688, 'b': 0.6312493757556481, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['downsampled_aliased'], 'perturbation_strength': 0.40789473684210525}"
standard_map_k1.07_s011_v4_outlier_spike,chaotic_map,synthetic,forecast,150170451,800,2,"{'generator': 'standard_map', 'K': 1.0737487442163296, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['outlier_spike'], 'perturbation_strength': 0.6842105263157895}"
quadratic_map_a1.983_s009_v4_observation_noise,chaotic_map,synthetic,forecast,150170469,800,1,"{'generator': 'quadratic_map', 'a': 1.9825193767777738, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['observation_noise'], 'perturbation_strength': 0.6052631578947368, 'snr_db': 16.105263157894736}"
quadratic_map_a1.562_s016_v4_observation_noise,chaotic_map,synthetic,forecast,150170476,800,6,"{'generator': 'quadratic_map', 'a': 1.562221892895646, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['observation_noise'], 'perturbation_strength': 0.881578947368421, 'snr_db': 21.63157894736842}"
colored_noise_b1.536_s000,colored_noise,synthetic,forecast,150102400,800,22,"{'generator': 'colored_noise', 'beta': 1.5358233686684941, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
colored_noise_b0.549_s004,colored_noise,synthetic,forecast,150102404,800,1,"{'generator': 'colored_noise', 'beta': 0.5487726400769588, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
colored_noise_b0.983_s011,colored_noise,synthetic,forecast,150102411,800,10,"{'generator': 'colored_noise', 'beta': 0.9828449273317186, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
colored_noise_b0.738_s013,colored_noise,synthetic,forecast,150102413,800,5,"{'generator': 'colored_noise', 'beta': 0.7377751487717927, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
colored_noise_b0.661_s015,colored_noise,synthetic,forecast,150102415,800,3,"{'generator': 'colored_noise', 'beta': 0.660611006409411, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
colored_noise_b1.987_s019,colored_noise,synthetic,forecast,150102419,800,96,"{'generator': 'colored_noise', 'beta': 1.9869951545150846, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
v4_colored_noise_b1.447_002,colored_noise,synthetic,forecast,150167002,800,43,"{'generator': 'colored_noise', 'beta': 1.447440579333675, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b-0.817_004,colored_noise,synthetic,forecast,150167004,800,1,"{'generator': 'colored_noise', 'beta': -0.8166870929333392, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b1.675_006,colored_noise,synthetic,forecast,150167006,800,111,"{'generator': 'colored_noise', 'beta': 1.6753898229030915, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b1.718_012,colored_noise,synthetic,forecast,150167012,800,66,"{'generator': 'colored_noise', 'beta': 1.7181400797024104, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b0.615_014,colored_noise,synthetic,forecast,150167014,800,2,"{'generator': 'colored_noise', 'beta': 0.6154137513062441, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b1.026_017,colored_noise,synthetic,forecast,150167017,800,12,"{'generator': 'colored_noise', 'beta': 1.0258938348065563, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b-1.175_018,colored_noise,synthetic,forecast,150167018,800,2,"{'generator': 'colored_noise', 'beta': -1.1746314697991829, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b0.784_019,colored_noise,synthetic,forecast,150167019,800,2,"{'generator': 'colored_noise', 'beta': 0.7837796119682232, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b0.357_020,colored_noise,synthetic,forecast,150167020,800,1,"{'generator': 'colored_noise', 'beta': 0.35666114886046496, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b1.212_023,colored_noise,synthetic,forecast,150167023,800,7,"{'generator': 'colored_noise', 'beta': 1.2124082485024155, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_colored_noise_b-1.082_029,colored_noise,synthetic,forecast,150167029,800,2,"{'generator': 'colored_noise', 'beta': -1.081588489073271, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
colored_noise_b1.432_s002_v4_outlier_spike,colored_noise,synthetic,forecast,150170262,800,13,"{'generator': 'colored_noise', 'beta': 1.4323390439928911, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['outlier_spike'], 'perturbation_strength': 0.32894736842105265}"
colored_noise_b0.647_s012_v4_window_length_horizon,colored_noise,synthetic,forecast,150170272,800,2,"{'generator': 'colored_noise', 'beta': 0.6472893275906486, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['window_length_horizon'], 'perturbation_strength': 0.7236842105263157}"
colored_noise_b1.682_s014_v4_missing_irregular,colored_noise,synthetic,forecast,150170274,800,27,"{'generator': 'colored_noise', 'beta': 1.6823714419403453, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['missing_irregular'], 'perturbation_strength': 0.8026315789473684}"
mackey_glass_tau37_s015,delay_dynamics,synthetic,forecast,150101115,800,16,"{'generator': 'mackey_glass', 'tau': 37, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
mackey_glass_tau28_s001_snr10db,delay_dynamics,synthetic,forecast,150109001,800,13,"{'generator': 'mackey_glass', 'tau': 28, 'noise_overlay': True, 'snr_db': 10.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
mackey_glass_tau26_s005_snr20db,delay_dynamics,synthetic,forecast,150109005,800,13,"{'generator': 'mackey_glass', 'tau': 26, 'noise_overlay': True, 'snr_db': 20.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
mackey_glass_tau23_s009_snr5db,delay_dynamics,synthetic,forecast,150109009,800,10,"{'generator': 'mackey_glass', 'tau': 23, 'noise_overlay': True, 'snr_db': 5.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
mackey_glass_tau25_s012_snr5db,delay_dynamics,synthetic,forecast,150109012,800,10,"{'generator': 'mackey_glass', 'tau': 25, 'noise_overlay': True, 'snr_db': 5.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
v4_mackey_glass_tau26_dt0.76_s002,delay_dynamics,synthetic,forecast,150161002,800,13,"{'generator': 'mackey_glass', 'tau': 26, 'dt': 0.7615625147469357, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau12_dt0.89_s009,delay_dynamics,synthetic,forecast,150161009,800,7,"{'generator': 'mackey_glass', 'tau': 12, 'dt': 0.8948956718655204, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau09_dt1.03_s014,delay_dynamics,synthetic,forecast,150161014,800,6,"{'generator': 'mackey_glass', 'tau': 9, 'dt': 1.0292439922430745, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau11_dt1.13_s016,delay_dynamics,synthetic,forecast,150161016,800,7,"{'generator': 'mackey_glass', 'tau': 11, 'dt': 1.1275858835896218, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau61_dt1.28_s022,delay_dynamics,synthetic,forecast,150161022,800,14,"{'generator': 'mackey_glass', 'tau': 61, 'dt': 1.2837281695241767, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau53_dt0.94_s025,delay_dynamics,synthetic,forecast,150161025,800,20,"{'generator': 'mackey_glass', 'tau': 53, 'dt': 0.9426348095361305, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau40_dt0.98_s027,delay_dynamics,synthetic,forecast,150161027,800,14,"{'generator': 'mackey_glass', 'tau': 40, 'dt': 0.9843399293149031, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau37_dt1.15_s029,delay_dynamics,synthetic,forecast,150161029,800,16,"{'generator': 'mackey_glass', 'tau': 37, 'dt': 1.1515672806633432, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau57_dt0.79_s032,delay_dynamics,synthetic,forecast,150161032,800,19,"{'generator': 'mackey_glass', 'tau': 57, 'dt': 0.7939320953468775, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau64_dt0.96_s035,delay_dynamics,synthetic,forecast,150161035,800,24,"{'generator': 'mackey_glass', 'tau': 64, 'dt': 0.9634490785362909, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_mackey_glass_tau59_dt1.05_s036,delay_dynamics,synthetic,forecast,150161036,800,26,"{'generator': 'mackey_glass', 'tau': 59, 'dt': 1.0514088258488639, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
mackey_glass_tau19_s008_v4_missing_irregular,delay_dynamics,synthetic,forecast,150170008,800,10,"{'generator': 'mackey_glass', 'tau': 19, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['missing_irregular'], 'perturbation_strength': 0.5657894736842105}"
mackey_glass_tau23_s009_v4_quantized_clipped_saturated,delay_dynamics,synthetic,forecast,150170009,800,11,"{'generator': 'mackey_glass', 'tau': 23, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['quantized_clipped_saturated'], 'perturbation_strength': 0.6052631578947368}"
mackey_glass_tau40_s011_v4_downsampled_aliased,delay_dynamics,synthetic,forecast,150170011,800,15,"{'generator': 'mackey_glass', 'tau': 40, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['downsampled_aliased'], 'perturbation_strength': 0.6842105263157895}"
mackey_glass_tau17_s016_v4_quantized_clipped_saturated,delay_dynamics,synthetic,forecast,150170016,800,9,"{'generator': 'mackey_glass', 'tau': 17, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['quantized_clipped_saturated'], 'perturbation_strength': 0.881578947368421}"
v4_student_t_ar_006,heavy_tail_jump,synthetic,forecast,150165006,800,3,"{'generator': 'student_t_ar', 'phi': 0.6464777589401605, 'df': 6.254817024837596, 'sigma': 0.6747695345045324, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_009,heavy_tail_jump,synthetic,forecast,150165009,800,1,"{'generator': 'jump_ar', 'phi': -0.016898432301013455, 'jump_prob': 0.06936437587710631, 'jump_scale': 3.325701722057891, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_013,heavy_tail_jump,synthetic,forecast,150165013,800,1,"{'generator': 'jump_ar', 'phi': 0.10073257113199496, 'jump_prob': 0.032885155806386575, 'jump_scale': 1.5136142914989021, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_014,heavy_tail_jump,synthetic,forecast,150165014,800,1,"{'generator': 'student_t_ar', 'phi': 0.1917273405242309, 'df': 7.257325508683471, 'sigma': 0.24463140107119197, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_017,heavy_tail_jump,synthetic,forecast,150165017,800,2,"{'generator': 'jump_ar', 'phi': 0.44048756932112065, 'jump_prob': 0.06291981780260732, 'jump_scale': 2.922522007626796, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_018,heavy_tail_jump,synthetic,forecast,150165018,800,1,"{'generator': 'student_t_ar', 'phi': -0.024553704267898713, 'df': 3.6618424110698466, 'sigma': 0.4088761318433288, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_019,heavy_tail_jump,synthetic,forecast,150165019,800,2,"{'generator': 'jump_ar', 'phi': 0.5061140615113853, 'jump_prob': 0.004954643778781853, 'jump_scale': 2.4086919196951717, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_021,heavy_tail_jump,synthetic,forecast,150165021,800,2,"{'generator': 'jump_ar', 'phi': 0.5539104990110832, 'jump_prob': 0.02767652444881195, 'jump_scale': 4.252398820831578, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_024,heavy_tail_jump,synthetic,forecast,150165024,800,1,"{'generator': 'student_t_ar', 'phi': 0.2162797184105919, 'df': 2.813619115371588, 'sigma': 0.5333579603247055, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_028,heavy_tail_jump,synthetic,forecast,150165028,800,3,"{'generator': 'student_t_ar', 'phi': -0.6891140958995735, 'df': 6.54850615380934, 'sigma': 0.6470874326782733, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_030,heavy_tail_jump,synthetic,forecast,150165030,800,2,"{'generator': 'student_t_ar', 'phi': -0.6609171682791357, 'df': 7.4593738921797454, 'sigma': 0.4827940623641748, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_035,heavy_tail_jump,synthetic,forecast,150165035,800,1,"{'generator': 'jump_ar', 'phi': -0.31039338111781, 'jump_prob': 0.06691790391951677, 'jump_scale': 3.6815651462618613, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_036,heavy_tail_jump,synthetic,forecast,150165036,800,1,"{'generator': 'student_t_ar', 'phi': -0.3059802284348235, 'df': 5.126585704123018, 'sigma': 0.7147749292333541, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_037,heavy_tail_jump,synthetic,forecast,150165037,800,1,"{'generator': 'jump_ar', 'phi': 0.06008436457968169, 'jump_prob': 0.07404260601154204, 'jump_scale': 2.141856873178857, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_040,heavy_tail_jump,synthetic,forecast,150165040,800,1,"{'generator': 'student_t_ar', 'phi': -0.2877413031771504, 'df': 5.253108758314395, 'sigma': 0.8040971529144259, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_041,heavy_tail_jump,synthetic,forecast,150165041,800,1,"{'generator': 'jump_ar', 'phi': -0.2771145636736986, 'jump_prob': 0.06365821257039565, 'jump_scale': 2.679113282262251, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_043,heavy_tail_jump,synthetic,forecast,150165043,800,1,"{'generator': 'jump_ar', 'phi': 0.2581966328121308, 'jump_prob': 0.023769056760209167, 'jump_scale': 3.883054657099941, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_052,heavy_tail_jump,synthetic,forecast,150165052,800,2,"{'generator': 'student_t_ar', 'phi': 0.5468214994358085, 'df': 7.73677115963704, 'sigma': 0.4668580280458823, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_student_t_ar_056,heavy_tail_jump,synthetic,forecast,150165056,800,1,"{'generator': 'student_t_ar', 'phi': -0.2269909108500413, 'df': 6.147759085464315, 'sigma': 0.20826541078580252, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
v4_jump_ar_057,heavy_tail_jump,synthetic,forecast,150165057,800,1,"{'generator': 'jump_ar', 'phi': 0.16504654390724915, 'jump_prob': 0.047357091654050346, 'jump_scale': 5.70276417532437, 'taxonomy': 'v4', 'v4_source': 'expanded_template'}"
narma10_s002,input_driven_memory,synthetic,input_driven,150101602,800,1,"{'generator': 'narma', 'order': 10, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
narma02_s007,input_driven_memory,synthetic,input_driven,150101607,800,1,"{'generator': 'narma', 'order': 2, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
narma20_s011,input_driven_memory,synthetic,input_driven,150101611,800,1,"{'generator': 'narma', 'order': 20, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
nonlinear_ipc_d3_l21_s002,input_driven_memory,synthetic,input_driven,150101802,800,1,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 10, 21], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
linear_memory_lag12_s005_snr20db,input_driven_memory,synthetic,input_driven,150109065,800,1,"{'generator': 'linear_memory', 'lag': 12, 'noise_overlay': True, 'snr_db': 20.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
linear_memory_lag19_s006_snr5db,input_driven_memory,synthetic,input_driven,150109066,800,1,"{'generator': 'linear_memory', 'lag': 19, 'noise_overlay': True, 'snr_db': 5.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
linear_memory_lag04_s011_snr20db,input_driven_memory,synthetic,input_driven,150109071,800,1,"{'generator': 'linear_memory', 'lag': 4, 'noise_overlay': True, 'snr_db': 20.0, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}"
linear_memory_lag04_s011_v4_time_warped,input_driven_memory,synthetic,input_driven,150170131,800,1,"{'generator': 'linear_memory', 'lag': 4, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['time_warped'], 'perturbation_strength': 0.6842105263157895}"
linear_memory_lag11_s012_v4_window_length_horizon,input_driven_memory,synthetic,input_driven,150170132,800,1,"{'generator': 'linear_memory', 'lag': 11, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['window_length_horizon'], 'perturbation_strength': 0.7236842105263157}"
linear_memory_lag18_s013_v4_observation_noise,input_driven_memory,synthetic,input_driven,150170133,800,1,"{'generator': 'linear_memory', 'lag': 18, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['observation_noise'], 'perturbation_strength': 0.7631578947368421, 'snr_db': 19.263157894736842}"
linear_memory_lag03_s018_v4_time_warped,input_driven_memory,synthetic,input_driven,150170138,800,1,"{'generator': 'linear_memory', 'lag': 3, 'taxonomy': 'v4', 'v4_source': 'perturbation_axis', 'perturbation_axes': ['time_warped'], 'perturbation_strength': 0.9605263157894737}"
